traditional,simplified
齊豹爲衛司寇，守嗣大夫，作而不義，其書爲盜,齐豹为卫司寇，守嗣大夫，作而不义，其书为盗
臣爲王有患也,臣为王有患也
今儀相魏而攻之，是使儀之計當於秦也，非所以窮儀之道也,今仪相魏而攻之，是使仪之计当于秦也，非所以穷仪之道也
何有何亡,何有何亡
不去斧鑕，歿頭乎王廷,不去斧锧，殁头乎王廷
乃燅尸俎,乃燅尸俎
,
爲君之父、母、妻、長子，君已除喪而后聞喪，則不稅,为君之父、母、妻、长子，君已除丧而后闻丧，则不税
余以巾櫛事先君，而暴妾使余，三罪也,余以巾栉事先君，而暴妾使余，三罪也
,
,
再拜稽顙,再拜稽颡
內有百揆四岳，外有州牧侯伯,内有百揆四岳，外有州牧侯伯
唯不帥天地之度，不順四時之序，不度民神之義，不儀生物之則，以殄滅無胤，至于今不祀,唯不帅天地之度，不顺四时之序，不度民神之义，不仪生物之则，以殄灭无胤，至于今不祀
觀室者周於寢廟，又適其偃焉，爲是舉移是,观室者周于寝庙，又适其偃焉，为是举移是
,
,
《彖》曰：習坎，重險也,《彖》曰：习坎，重险也
彼以生爲附贅縣疣，以死爲決𤴯潰癰,彼以生为附赘县疣，以死为决𤴯溃痈
有鳣有鮪，鰷鱨鰋鯉,有鳣有鲔，鲦鲿𫚢鲤
,
或曰：管仲雪桓公之恥於小人，而生桓公之恥於君子矣,或曰：管仲雪桓公之耻于小人，而生桓公之耻于君子矣
曰：嗚呼,曰：呜呼
按《紀年》作胥．,按《纪年》作胥．
凡師甸用牲于社宗，則爲位,凡师甸用牲于社宗，则为位
趙王曰：子南方之傳士也，何以教之,赵王曰：子南方之传士也，何以教之
大尹徇曰：戴氏、皇氏將不利公室，與我者，無憂不富,大尹徇曰：戴氏、皇氏将不利公室，与我者，无忧不富
睹丙子，火行御,睹丙子，火行御
季曰：是何人也,季曰：是何人也
若臣，則不可以入矣,若臣，则不可以入矣
大羅氏，天子之掌鳥獸者也，諸侯貢屬焉,大罗氏，天子之掌鸟兽者也，诸侯贡属焉
子雖死，慈親之愛之不懈,子虽死，慈亲之爱之不懈
,
今商王受，狎侮五常，荒怠弗敬,今商王受，狎侮五常，荒怠弗敬
爵弁纁屨，黑絇、繶、純，純博寸,爵弁𫄸屦，黑絇、𫄷、纯，纯博寸
,
喪祭用不足曰暴，有余曰浩,丧祭用不足曰暴，有余曰浩
越石父曰：夫子禮之，敢不敬從,越石父曰：夫子礼之，敢不敬从
尊長於己踰等，不敢問其年,尊长于己逾等，不敢问其年
,
樂師，下大夫四人，上士八人，下士十有六人,乐师，下大夫四人，上士八人，下士十有六人
乃申爾服，禮儀有序,乃申尔服，礼仪有序
,
貞，大人吉，以剛中也,贞，大人吉，以刚中也
,
故樹木之勝霜露者，不受令於天,故树木之胜霜露者，不受令于天
我先后綏乃祖乃父，乃祖乃父乃斷棄汝，不救乃死,我先后绥乃祖乃父，乃祖乃父乃断弃汝，不救乃死
夾鐘之月，寬裕和平，行德去刑，無或作事，以害群生,夹钟之月，宽裕和平，行德去刑，无或作事，以害群生
載于青色，撫十二月節，卒於丑,载于青色，抚十二月节，卒于丑
公有疾也,公有疾也
,
郤芮曰：幣重而言甘，誘我也,郤芮曰：币重而言甘，诱我也
子曰：由之瑟奚爲於丘之門,子曰：由之瑟奚为于丘之门
夫師，以身爲正儀而貴自安者也,夫师，以身为正仪而贵自安者也
衆工則不拜受爵，祭，飲,众工则不拜受爵，祭，饮
,
𪃋韓之人無鳬乃獻良馬百匹，服牛三百，良犬七千，牥牛二百，野馬三百，牛羊二千，穄麥三百車,𪃋韩之人无凫乃献良马百匹，服牛三百，良犬七千，牥牛二百，野马三百，牛羊二千，穄麦三百车
,
鄧侯吾離來朝,邓侯吾离来朝
馮沮曰：嚴遂相，而韓傀貴於君，不如行賊於韓傀，則君必以爲嚴氏也,冯沮曰：严遂相，而韩傀贵于君，不如行贼于韩傀，则君必以为严氏也
范子私於原公，曰：吾聞王室之禮無毀折，今此何禮也,范子私于原公，曰：吾闻王室之礼无毁折，今此何礼也
衣食之業絕，則民不得無飾巧詐,衣食之业绝，则民不得无饰巧诈
秦伯素服郊次，鄉師而哭曰：孤違蹇叔，以辱二三子，孤之罪也,秦伯素服郊次，乡师而哭曰：孤违蹇叔，以辱二三子，孤之罪也
與之邑，寘之而逃，奔宋,与之邑，寘之而逃，奔宋
唯所欲與,唯所欲与
復命于介,复命于介
修友敵之道以敬接諸侯，則諸侯說之矣,修友敌之道以敬接诸侯，则诸侯说之矣
以帛裹布，非禮也,以帛裹布，非礼也
以臣之觀之，則楚、趙必與之攻矣,以臣之观之，则楚、赵必与之攻矣
爲國君者華之，巾以綌,为国君者华之，巾以绤
苟不求助，何能舉,苟不求助，何能举
天子命我，城彼朔方,天子命我，城彼朔方
止鄭一卿，以除其偪，使睦而疾楚，以固於晉，焉用之,止郑一卿，以除其偪，使睦而疾楚，以固于晋，焉用之
吾將三月㹖汝，十日戒，三日齊，藉白茅，加汝肩尻乎彫俎之上，則汝爲之乎,吾将三月㹖汝，十日戒，三日齐，藉白茅，加汝肩尻乎雕俎之上，则汝为之乎
古者大夫已去，三年待放,古者大夫已去，三年待放
天下，至富也,天下，至富也
芴乎芒乎，而无有象乎,芴乎芒乎，而无有象乎
,
二、官得度,二、官得度
先王不能盡知，執一而萬物治,先王不能尽知，执一而万物治
有兔爰爰，雉離于罦,有兔爰爰，雉离于罦
桓公問管子曰：輕重准施之矣，筴盡於此乎,桓公问管子曰：轻重准施之矣，䇲尽于此乎
王，尊稱也,王，尊称也
大室屋壞者，有壞道也，譏不脩也,大室屋坏者，有坏道也，讥不修也
十者然後具五官於六府也，五聲於六律也,十者然后具五官于六府也，五声于六律也
冬至後五旬七日，菖始生,冬至后五旬七日，菖始生
亟達而無守，好名而無體，忿怒而爲惡，足恭而口聖，而無常位者，君子弗與也,亟达而无守，好名而无体，忿怒而为恶，足恭而口圣，而无常位者，君子弗与也
行也,行也
,
十二年春，諸侯城衛楚丘之郛，懼狄難也,十二年春，诸侯城卫楚丘之郛，惧狄难也
康猶不悛，入我河曲，伐我涑川，俘我王官，翦我羈馬，我是以有河曲之戰,康犹不悛，入我河曲，伐我涑川，俘我王官，翦我羁马，我是以有河曲之战
,
夫孝者，善繼人之志，善述人之事者也,夫孝者，善继人之志，善述人之事者也
狄人伐邢,狄人伐邢
吾驚怖其言，猶河漢而無極也,吾惊怖其言，犹河汉而无极也
未嘗君之羹，請以遺之,未尝君之羹，请以遗之
晉侯執曹伯，歸之于京師,晋侯执曹伯，归之于京师
有必緣其心，愛之謂也,有必缘其心，爱之谓也
公子爭之於王，王聽公子，公子不封,公子争之于王，王听公子，公子不封
太子再拜而跪，膝下行流涕，有頃而後言曰：丹所請田先生無言者，欲以成大事之謀，今田先生以死明不泄言，豈,太子再拜而跪，膝下行流涕，有顷而后言曰：丹所请田先生无言者，欲以成大事之谋，今田先生以死明不泄言，岂
天子出令於天下，諸侯受令於天子，大夫受令於君，子受令於父母，下聽其上，弟聽其兄，此至順矣,天子出令于天下，诸侯受令于天子，大夫受令于君，子受令于父母，下听其上，弟听其兄，此至顺矣
晉人有馮婦者，善搏虎，卒爲善士,晋人有冯妇者，善搏虎，卒为善士
太后曰：然,太后曰：然
若有此，則病必甚矣,若有此，则病必甚矣
楚不言師，君重於師也,楚不言师，君重于师也
所爲使者，異國之主也,所为使者，异国之主也
,
,
內宰掌書版圖之灋，以治王內之政令，均其稍食，分其人民以居之,内宰掌书版图之法，以治王内之政令，均其稍食，分其人民以居之
靈公之論宛春，可謂知君道矣,灵公之论宛春，可谓知君道矣
公曰：何如,公曰：何如
行冬令，則水潦爲敗，雪霜大摯，首種不入,行冬令，则水潦为败，雪霜大挚，首种不入
上帝甚蹈，無自瘵焉,上帝甚蹈，无自瘵焉
,
陟彼北山，言采其杞,陟彼北山，言采其杞
文張善宋，惡公子牟夷，寅然,文张善宋，恶公子牟夷，寅然
遂師，下大夫四人，上士八人，中士十有六人，旅下士三十有二人，府四人，史十有二人，胥十有二人，徒百有二,遂师，下大夫四人，上士八人，中士十有六人，旅下士三十有二人，府四人，史十有二人，胥十有二人，徒百有二
誰將西歸，懷之好音,谁将西归，怀之好音
若由是姬姓也，尚將列爲公侯，以復先王之職，大物其未可改也,若由是姬姓也，尚将列为公侯，以复先王之职，大物其未可改也
,
,
,
,
馴致其道，至堅冰也,驯致其道，至坚冰也
此七者，伐之機也,此七者，伐之机也
芳菲菲而難虧兮，芬至今猶未沬,芳菲菲而难亏兮，芬至今犹未沬
食肉之祿，冰皆與焉,食肉之禄，冰皆与焉
,
殷鑒不遠，在夏后之世,殷鉴不远，在夏后之世
三年之喪，雖貴遂服，禮也,三年之丧，虽贵遂服，礼也
,
兄弟具在，以成厥德,兄弟具在，以成厥德
齊之爲言齊也，齊不齊以致齊者也,齐之为言齐也，齐不齐以致齐者也
莊公丹桓宮之楹，而刻其桷,庄公丹桓宫之楹，而刻其桷
郤宛直而和，國人說之,郤宛直而和，国人说之
若歲時簡器，與有司數之,若岁时简器，与有司数之
曰歸曰歸，歲亦莫止,曰归曰归，岁亦莫止
此六者得於學，則邪辟之道塞矣，理義之術勝矣,此六者得于学，则邪辟之道塞矣，理义之术胜矣
咎犯對曰：臣聞繁禮之君，不足於文,咎犯对曰：臣闻繁礼之君，不足于文
松桷有梴，旅楹有閑，寢成孔安,松桷有梴，旅楹有闲，寝成孔安
此處水上之軍也,此处水上之军也
子司馬子曰：蓋以操之爲已蹙矣,子司马子曰：盖以操之为已蹙矣
夫以室廡籍，謂之毀成,夫以室庑籍，谓之毁成
大夫以君命出，進退在大夫也,大夫以君命出，进退在大夫也
入奠，卒奠出，改服即位，如始即位之禮,入奠，卒奠出，改服即位，如始即位之礼
公荅再拜,公荅再拜
孟子曰：封之也,孟子曰：封之也
悠哉悠哉,悠哉悠哉
,
甲子，新宮災,甲子，新宫灾
,
,
其日庚辛，其帝少皞，其神蓐收,其日庚辛，其帝少皞，其神蓐收
,
及孝公、商君死，惠王即位，秦法未敗也，而張儀以秦殉韓、魏,及孝公、商君死，惠王即位，秦法未败也，而张仪以秦殉韩、魏
言先教也,言先教也
,
寂乎其無端也，外內不通，安知所怨,寂乎其无端也，外内不通，安知所怨
言與民同也,言与民同也
王曰：今之如耳、魏齊，孰與孟嘗、芒卯之賢,王曰：今之如耳、魏齐，孰与孟尝、芒卯之贤
,
曰：吾聞之，勝直而剛，欲寘之境,曰：吾闻之，胜直而刚，欲寘之境
莊公爲勇爵，殖綽、郭最欲與焉,庄公为勇爵，殖绰、郭最欲与焉
天子乃齋,天子乃斋
五剽之狀，華然如芬以脤,五剽之状，华然如芬以脤
子玉使伯棼請戰，曰：非敢必有功也，願以間執讒慝之口,子玉使伯棼请战，曰：非敢必有功也，愿以间执谗慝之口
天時，非賢也,天时，非贤也
,
周公旦主東方,周公旦主东方
敬爾威儀，淑慎爾德,敬尔威仪，淑慎尔德
大王不如先行王服，然後圖齊、楚,大王不如先行王服，然后图齐、楚
子曰：昔堯取人以狀，舜取人以色，禹取人以言，湯取人以聲，文王取人以度，此四代五王之取人以治天下如此,子曰：昔尧取人以状，舜取人以色，禹取人以言，汤取人以声，文王取人以度，此四代五王之取人以治天下如此
余幼好此奇服兮，年既老而不衰,余幼好此奇服兮，年既老而不衰
是故先王之孝也，色不忘乎目，聲不絕乎耳，心志嗜欲不忘乎心,是故先王之孝也，色不忘乎目，声不绝乎耳，心志嗜欲不忘乎心
掌炭，下士二人，史二人，徒二十人,掌炭，下士二人，史二人，徒二十人
子曰：君知未成，言未盡也,子曰：君知未成，言未尽也
夫子獲罪於君以在此，懼猶不足，而又何樂,夫子获罪于君以在此，惧犹不足，而又何乐
,
公許之,公许之
民者，所以守戰也，故雖不守戰，其治養民也，未嘗解惰也,民者，所以守战也，故虽不守战，其治养民也，未尝解惰也
秦王、太后必喜，是公有秦也,秦王、太后必喜，是公有秦也
,
,
曰：齊衰、大功冠其受也，緦麻、小功冠其衰也,曰：齐衰、大功冠其受也，缌麻、小功冠其衰也
乃有大罪，非終，乃惟眚災,乃有大罪，非终，乃惟眚灾
故君出令，正其國而無齊其欲，一其愛而無獨與是，王施而無私，則海內來賓矣,故君出令，正其国而无齐其欲，一其爱而无独与是，王施而无私，则海内来宾矣
名譽之觀，不足以爲廣,名誉之观，不足以为广
人有土田，女反有之,人有土田，女反有之
冬，戎侵曹，曹羈出奔陳,冬，戎侵曹，曹羁出奔陈
於衛靈公，際可之仕也,于卫灵公，际可之仕也
,
陽不克莫，將積聚也,阳不克莫，将积聚也
其鬼不祟，其魂不疲，一心定而萬物服,其鬼不祟，其魂不疲，一心定而万物服
子桑戶、孟子反、子琴張三人相與友，曰：孰能相與於无相與，相爲於无相爲,子桑户、孟子反、子琴张三人相与友，曰：孰能相与于无相与，相为于无相为
凡諸侯薨于朝、會，加一等,凡诸侯薨于朝、会，加一等
對曰：老夫其國家不能恤，敢及王室,对曰：老夫其国家不能恤，敢及王室
晉師侵鄭,晋师侵郑
陟，升也,陟，升也
二十年春王二月己丑，日南至,二十年春王二月己丑，日南至
弗聽,弗听
既征西河．注：《紀年》在二十五年．,既征西河．注：《纪年》在二十五年．
天時墜兮威靈怒，嚴殺盡兮棄原壄,天时坠兮威灵怒，严杀尽兮弃原壄
王前巫而後史，卜筮瞽侑皆在左右，王中心無爲也，以守至正,王前巫而后史，卜筮瞽侑皆在左右，王中心无为也，以守至正
晉趙鞅使告于衛，曰：君之在晉也，志父爲主,晋赵鞅使告于卫，曰：君之在晋也，志父为主
桎梏死者，非正命也,桎梏死者，非正命也
劉子又引《竹書》云：舜篡堯位，立丹朱城，俄又奪之．,刘子又引《竹书》云：舜篡尧位，立丹朱城，俄又夺之．
,
,
既而聞之曰公子御說之辭也,既而闻之曰公子御说之辞也
陳公子完與顓孫奔齊,陈公子完与颛孙奔齐
,
有毋功而可以得富者，則禄賞不足以勸民,有毋功而可以得富者，则禄赏不足以劝民
既歌而入，當户而坐,既歌而入，当户而坐
秋八月庚辰，公及戎盟于唐,秋八月庚辰，公及戎盟于唐
終日乾乾，反復道也,终日乾乾，反复道也
咥人之凶，位不當也,咥人之凶，位不当也
工入，升自西階，北面坐,工入，升自西阶，北面坐
古之喪禮，貴賤有儀，上下有等，天子棺槨七重，諸侯五重，大夫三重，士再重,古之丧礼，贵贱有仪，上下有等，天子棺椁七重，诸侯五重，大夫三重，士再重
,
晉魏曼多帥師侵衛,晋魏曼多帅师侵卫
,
夫禮者，忠信之薄，而亂之首,夫礼者，忠信之薄，而乱之首
興徒兵以攻萑苻之盜，盡殺之，盜少止,兴徒兵以攻萑苻之盗，尽杀之，盗少止
吾聞之曾子，曾子聞之仲尼：父母全而生之，子全而歸之，不虧其身，不損其形，可謂孝矣,吾闻之曾子，曾子闻之仲尼：父母全而生之，子全而归之，不亏其身，不损其形，可谓孝矣
趙刻曰：君過矣,赵刻曰：君过矣
故燕禮者，所以明君臣之義也,故燕礼者，所以明君臣之义也
簡侮大臣，無禮父兄，勞苦百姓，殺戮不辜者，可亡也,简侮大臣，无礼父兄，劳苦百姓，杀戮不辜者，可亡也
,
主人從升，婦人升，東面,主人从升，妇人升，东面
典路掌王及后之五路，辨其名物與其用說,典路掌王及后之五路，辨其名物与其用说
《象》曰：貞厲，無咎，得當也,《象》曰：贞厉，无咎，得当也
益曰：吁,益曰：吁
十有一月壬戌，晉侯及秦伯戰于韓，獲晉侯,十有一月壬戌，晋侯及秦伯战于韩，获晋侯
夷子曰：儒者之道，古之人若保赤子，此言何謂也,夷子曰：儒者之道，古之人若保赤子，此言何谓也
無爲而無不爲,无为而无不为
辛公甲曰：大難攻，小易服,辛公甲曰：大难攻，小易服
墨子見染素絲者而歎曰：染於蒼則蒼，染於黄則黄，所以入者變，其色亦變，五入而以爲五色矣,墨子见染素丝者而叹曰：染于苍则苍，染于黄则黄，所以入者变，其色亦变，五入而以为五色矣
請西約三晉，南連齊、楚，北講於單于，然後乃可圖也,请西约三晋，南连齐、楚，北讲于单于，然后乃可图也
過於其志,过于其志
先生與之言則對，不與之言則趨而退,先生与之言则对，不与之言则趋而退
,
今臣竊聞貴臣之計，舉兵將伐韓,今臣窃闻贵臣之计，举兵将伐韩
鄢之役，晉人欲爭鄭，范文子不欲，曰：吾聞之，爲人臣者，能內睦而後圖外，不睦內而圖外，必有內爭，盍姑謀,鄢之役，晋人欲争郑，范文子不欲，曰：吾闻之，为人臣者，能内睦而后图外，不睦内而图外，必有内争，盍姑谋
樓子遂行,楼子遂行
府二人，史四人，徒四十人,府二人，史四人，徒四十人
秦、趙大惡,秦、赵大恶
讓，推賢也,让，推贤也
,
能者養以之福，不能者敗以取禍,能者养以之福，不能者败以取祸
無君子則天地不理，禮義無統，上無君師，下無父子，夫是之謂至亂,无君子则天地不理，礼义无统，上无君师，下无父子，夫是之谓至乱
知及之，仁能守之，莊以涖之，動之不以禮，未善也,知及之，仁能守之，庄以莅之，动之不以礼，未善也
張丑曰：不可,张丑曰：不可
趙之所欲爲，秦助之,赵之所欲为，秦助之
十邑爲率，率有長,十邑为率，率有长
惠子曰：置猿於柙中，則與豚同,惠子曰：置猿于柙中，则与豚同
公子小白不讓公子糾，先入，又殺之于魯，故曰齊小白入于齊，惡之也,公子小白不让公子纠，先入，又杀之于鲁，故曰齐小白入于齐，恶之也
是必有異乎人者也,是必有异乎人者也
,
夏四月乙酉，單子取訾，劉子取牆人、直人,夏四月乙酉，单子取訾，刘子取墙人、直人
簡公以齊民爲渴馬，不以恩加民，而田成恒以仁厚爲圃池也,简公以齐民为渴马，不以恩加民，而田成恒以仁厚为圃池也
,
大夫、士相見，雖貴賤不敵，主人敬客，則先拜客，客敬主人，則先拜主人,大夫、士相见，虽贵贱不敌，主人敬客，则先拜客，客敬主人，则先拜主人
當是時也，周公旦在魯，馳往止之,当是时也，周公旦在鲁，驰往止之
乃立天官冢宰，使帥其屬而掌邦治，以佐王均邦國,乃立天官冢宰，使帅其属而掌邦治，以佐王均邦国
利然後能通，通然後成國,利然后能通，通然后成国
今且有言於此，不知其與是類乎,今且有言于此，不知其与是类乎
衛蒲、戚寔出獻公，宋蕭、蒙寔弒昭公，魯弁、費寔弱襄公，齊渠丘寔殺無知，晉曲沃寔納齊師，秦徵、衙寔難桓,卫蒲、戚寔出献公，宋萧、蒙寔弑昭公，鲁弁、费寔弱襄公，齐渠丘寔杀无知，晋曲沃寔纳齐师，秦征、衙寔难桓
,
,
,
庚子，至于□之山而休，以待六師之人,庚子，至于□之山而休，以待六师之人
大明不小事，假乃理事也，夫其不假也,大明不小事，假乃理事也，夫其不假也
行其意也,行其意也
𩟄人，掌凡祭祀共盛,𩟄人，掌凡祭祀共盛
孔子問子桑雽曰：吾再逐於魯，伐樹於宋，削迹於衛，窮於商周，圍於陳蔡之間,孔子问子桑雽曰：吾再逐于鲁，伐树于宋，削迹于卫，穷于商周，围于陈蔡之间
,
命弦者曰：請奏貍首，間若一,命弦者曰：请奏狸首，间若一
夫曰言語辯，聽之說，不度於義者，必不誠之言也,夫曰言语辩，听之说，不度于义者，必不诚之言也
,
《象》曰：萃有位，志未光也,《象》曰：萃有位，志未光也
弗弔旻天，大降喪于殷，我有周佑命，將天明威，致王罰，勑殷命終于帝,弗吊旻天，大降丧于殷，我有周佑命，将天明威，致王罚，𠡠殷命终于帝
素服居外，不聽樂，私喪之也，骨肉之親無絕也,素服居外，不听乐，私丧之也，骨肉之亲无绝也
其地，邢復見也,其地，邢复见也
故聽其《雅》、《頌》之聲，志意得廣焉,故听其《雅》、《颂》之声，志意得广焉
其以歸，薨之也,其以归，薨之也
往見伯樂曰：臣有駿馬，欲賣之，比三旦立於市，人莫與言，願子還而視之，去而顧之，臣請獻一朝之賈,往见伯乐曰：臣有骏马，欲卖之，比三旦立于市，人莫与言，愿子还而视之，去而顾之，臣请献一朝之贾
椒舉娶於申公子牟，子牟有罪而亡，康王以爲椒舉遣之，椒舉奔鄭，將遂奔晉,椒举娶于申公子牟，子牟有罪而亡，康王以为椒举遣之，椒举奔郑，将遂奔晋
天明畏，自我民明威,天明畏，自我民明威
夫聖人瑰意琦行，超然獨處，夫世俗之民，又安知臣之所爲哉,夫圣人瑰意琦行，超然独处，夫世俗之民，又安知臣之所为哉
尸西楹西北面荅拜,尸西楹西北面荅拜
與天下之賢者爲徒，此文王之所以王也,与天下之贤者为徒，此文王之所以王也
勞苦不撫循，憂悲不哀憐,劳苦不抚循，忧悲不哀怜
孔子愀然作色而對曰：君之及此言也，百姓之德也，固臣敢無辭而對,孔子愀然作色而对曰：君之及此言也，百姓之德也，固臣敢无辞而对
貜且，正也,貜且，正也
王父母、兄弟、世父、叔父、姑、姊妹，子與父同諱,王父母、兄弟、世父、叔父、姑、姊妹，子与父同讳
公追齊師至嶲，弗及,公追齐师至嶲，弗及
,
故古之人有不肯貴富者矣，由重生故也,故古之人有不肯贵富者矣，由重生故也
故人至暮不來，起不食待之,故人至暮不来，起不食待之
用說桎梏以往，吝,用说桎梏以往，吝
郤犨將新軍，且爲公族大夫，以主東諸侯,郤犨将新军，且为公族大夫，以主东诸侯
虎韔鏤膺，交韔二弓，竹閉緄縢,虎韔镂膺，交韔二弓，竹闭绲縢
齊姜者何,齐姜者何
微我無酒，以敖以遊,微我无酒，以敖以游
,
,
莒人侵我東鄙,莒人侵我东鄙
楚公子圍設服離衛,楚公子围设服离卫
千耦其耘，徂隰徂畛,千耦其耘，徂隰徂畛
芒然彷徨乎塵垢之外，逍遙乎无爲之業,芒然彷徨乎尘垢之外，逍遥乎无为之业
,
楚有申包胥，而昭王反復,楚有申包胥，而昭王反复
故曰：樂者，樂也,故曰：乐者，乐也
,
晉荀吳帥師敗狄于大鹵,晋荀吴帅师败狄于大卤
唯爲社田，國人畢作,唯为社田，国人毕作
以治待亂，以静待嘩，此治心者也,以治待乱，以静待哗，此治心者也
,
,
使五尺豎子引其棬，而牛恣所以之，順也,使五尺竖子引其棬，而牛恣所以之，顺也
,
子執穀璧，男執蒲璧，繅皆二采再就,子执谷璧，男执蒲璧，缫皆二采再就
賓不辭洗,宾不辞洗
大夫君子，昭假無贏,大夫君子，昭假无赢
,
,
均不壹，惠不忍人,均不壹，惠不忍人
,
輕任并，重任分，班白者不提挈,轻任并，重任分，班白者不提挈
公曰：君奭,公曰：君奭
,
軍旅、田役，令銜枚,军旅、田役，令衔枚
是月也，毋用火南方,是月也，毋用火南方
,
導洛自熊耳，東北，會于澗、瀍,导洛自熊耳，东北，会于涧、瀍
,
原者何,原者何
葬晉襄公,葬晋襄公
六四，師左次，無咎,六四，师左次，无咎
庚辰，大雨雪，亦如之,庚辰，大雨雪，亦如之
司宮具几與蒲筵常，緇布純,司宫具几与蒲筵常，缁布纯
,
晉師大駭不出，周軍飭壘，乃令董褐請事，曰：兩君偃兵接好，日中爲期,晋师大骇不出，周军饬垒，乃令董褐请事，曰：两君偃兵接好，日中为期
明王知其然，故必誅而不赦，必賞而不遷者，非喜予而樂其殺也，所以爲人致利除害也,明王知其然，故必诛而不赦，必赏而不迁者，非喜予而乐其杀也，所以为人致利除害也
先王以是經夫婦，成孝敬，厚人倫，美教化，移風俗,先王以是经夫妇，成孝敬，厚人伦，美教化，移风俗
天子居青陽右个，乘鸞路，駕倉龍，載青旂，衣青衣，服倉玉,天子居青阳右个，乘鸾路，驾仓龙，载青旗，衣青衣，服仓玉
九月，齊人取子糾殺之,九月，齐人取子纠杀之
出可以守宗廟社稷，以爲祭主也,出可以守宗庙社稷，以为祭主也
擇元日，命人社,择元日，命人社
季寤、公鉏極、公山不狃皆不得志於季氏，叔孫輒無寵於叔孫氏，叔仲志不得志於魯，故五人因陽虎,季寤、公鉏极、公山不狃皆不得志于季氏，叔孙辄无宠于叔孙氏，叔仲志不得志于鲁，故五人因阳虎
,
世之所不足者，理義也,世之所不足者，理义也
曰：先酌鄉人,曰：先酌乡人
秦王以爲不然，以告蒙傲曰：今也，寡人一城圍，食不甘味，臥不便席，今應侯亡地而言不憂，此其情也,秦王以为不然，以告蒙傲曰：今也，寡人一城围，食不甘味，卧不便席，今应侯亡地而言不忧，此其情也
中主猶若不能有其民，而況於暴君乎,中主犹若不能有其民，而况于暴君乎
,
我聞祖不豫，有加予,我闻祖不豫，有加予
彼將曰：敬叔父,彼将曰：敬叔父
,
太子歸，即位爲王,太子归，即位为王
海上之人有好蜻者，每居海上，從蜻游，蜻之至者百數而不止，前後左右盡蜻也，終日玩之而不去,海上之人有好蜻者，每居海上，从蜻游，蜻之至者百数而不止，前后左右尽蜻也，终日玩之而不去
令群士，乃宣布于四方，憲刑禁,令群士，乃宣布于四方，宪刑禁
,
我不見兮，我心苑結,我不见兮，我心苑结
孔子反走，再拜而進,孔子反走，再拜而进
武不行而勝，幸也,武不行而胜，幸也
故曰：慶勉敦敬以顯之，富禄有功以勸之，爵貴有名以休之,故曰：庆勉敦敬以显之，富禄有功以劝之，爵贵有名以休之
荀息將死之，人曰：不如立卓子而輔之,荀息将死之，人曰：不如立卓子而辅之
如是則伯業成矣,如是则伯业成矣
其脆易泮，其微易散,其脆易泮，其微易散
故禮煩則不莊，業煩則無功，令苛則不聽，禁多則不行,故礼烦则不庄，业烦则无功，令苛则不听，禁多则不行
,
人之難說也，道之難明邪,人之难说也，道之难明邪
或以爲明堂者，文王之廟也，朱草日生一葉，至十五日生十五葉，十六日一葉落，終而復始也,或以为明堂者，文王之庙也，朱草日生一叶，至十五日生十五叶，十六日一叶落，终而复始也
,
君釋此計，勿復言也,君释此计，勿复言也
,
厚賞之使人爲賁、諸也，婦人之拾蠶，漁者之握鱣，是以效之,厚赏之使人为贲、诸也，妇人之拾蚕，渔者之握鳣，是以效之
所謂劫主者，失其半者也,所谓劫主者，失其半者也
爲之猶賢乎已,为之犹贤乎已
,
不教順則不鄉意,不教顺则不乡意
君在不佩玉，左結佩，右設佩,君在不佩玉，左结佩，右设佩
,
子產曰：天者神，子惡知之,子产曰：天者神，子恶知之
,
去祖爲壇，去壇爲墠,去祖为坛，去坛为𫮃
羣臣皆不敢言，而以告犀首,群臣皆不敢言，而以告犀首
,
冬，十月，壬午，公子友帥師敗莒師于麗，獲莒挐,冬，十月，壬午，公子友帅师败莒师于丽，获莒挐
肆祖甲之享國三十有三年,肆祖甲之享国三十有三年
君子謂鄭莊公於是乎可謂正矣，以王命討不庭，不貪其土，以勞王爵，正之體也,君子谓郑庄公于是乎可谓正矣，以王命讨不庭，不贪其土，以劳王爵，正之体也
祈，求也,祈，求也
孟子曰：我先攻其邪心,孟子曰：我先攻其邪心
有王雖小，元子哉,有王虽小，元子哉
是月也，命樂師脩鞀、鞞、鼓，均琴、瑟、管、簫，執干戚戈羽，調竽笙竾簧，飭鐘磬柷敔,是月也，命乐师修鼗、鞞、鼓，均琴、瑟、管、箫，执干戚戈羽，调竽笙竾簧，饬钟磬柷敔
王曰：汝陳時臬事罰,王曰：汝陈时臬事罚
請賓曰：順投爲入，比投不釋，勝飲不勝者,请宾曰：顺投为入，比投不释，胜饮不胜者
,
與治同道，罔不興,与治同道，罔不兴
此以勇得也,此以勇得也
薄言往愬，逢彼之怒,薄言往愬，逢彼之怒
楚子使薳章讓於鄧,楚子使䓕章让于邓
,
師之所處，荆棘生焉,师之所处，荆棘生焉
賓入中庭，北面致命,宾入中庭，北面致命
今也則亡，未聞好學者也,今也则亡，未闻好学者也
故曰：精而熟之，鬼將告之,故曰：精而熟之，鬼将告之
駑馬之輈，深三尺有三寸,驽马之辀，深三尺有三寸
角弓其觩，束矢其搜,角弓其觩，束矢其搜
,
請立起也,请立起也
大夫之臣拜不稽首，非尊家臣也，所以辟君也,大夫之臣拜不稽首，非尊家臣也，所以辟君也
